Operator,Param original,σ bef decay,Unc. σ bef decay,σ Rwg ,Unc. σ Rwg,Rel Rwg Unc. %,Rel diff in % σ rwg
FM0vsFM1,,-2.81e-04,1.18e-06,3.92e-04,5.69e-04,145.15%,239.48%
FM0vsFM2,,-8.40e-05,4.02e-07,5.21e-04,5.91e-04,113.44%,720.36%
FM0,5.82e-12,4.28e-04,2.51e-06,5.20e-04,9.77e-04,187.88%,21.41%
FM1,9.10e-12,1.76e-04,2.25e-06,2.02e-04,1.49e-04,73.76%,15.03%
FM2,1.06e-11,1.30e-04,1.57e-06,1.32e-04,1.63e-04,123.48%,1.93%
FM3,1.62e-11,5.55e-05,6.38e-07,5.67e-05,1.90e-05,33.51%,2.18%
FM4,5.11e-12,5.54e-04,7.98e-06,5.77e-04,1.44e-04,24.96%,4.15%
FM5,6.96e-12,2.95e-04,6.73e-06,3.13e-04,5.76e-05,18.40%,6.05%
FM7,1.15e-11,1.09e-04,1.44e-06,1.28e-04,9.65e-05,75.39%,17.38%
FM8,1.14e-11,1.10e-04,1.21e-06,1.20e-04,6.03e-05,50.25%,8.94%
FM9,3.76e-12,1.03e-03,1.32e-05,1.03e-03,2.90e-04,28.16%,0.02%
